Procedure,Airplane_Model,Date,Time,Index,start,end,label,label2,text
Before Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877831018518519,621,4708,4733,Action (Where),Action,on theirrespective pfds
Before Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877831018518519,622,4749,4779,Action (What),Action,confirm green box annunciated
Before Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877831018518519,623,4780,4801,Action (What),Action,review ead for alerts
Before Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877831018518519,624,4802,4850,Trigger (What),Trigger,prior to taking the active runway for departure
Before Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877831018518519,625,4851,4925,Action (What),Action,confirm that all displayed items are understood and/ or have been briefed
Before Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877831018518519,626,4932,4933,Actor,Actor,c
Before Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877831018518519,627,4941,4984,Decide (What),Decide,if weather radar is required for departure
Before Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877831018518519,628,4985,5048,Action (What),Action,turn on weather radar and adjust tilt and nd range asrequired
Before Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877831018518519,629,5049,5069,Decide (What),Decide,if pws is installed
Before Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877831018518519,630,5070,5092,Action (What),Action,turn on weather radar
Before Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877831018518519,631,5097,5098,Actor,Actor,c
Before Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877831018518519,632,5101,5152,Action (What),Action,state the departure clearance heading and altitude
Before Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877831018518519,633,5153,5188,Verification (What),Verification,verify both are set in fcp windows
Before Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877831018518519,634,5173,5188,Verification (Where),Verification,in fcp windows
Before Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877831018518519,635,5260,5261,Actor,Actor,f
Before Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877831018518519,636,5265,5293,Action (What),Action,use taxi lights iaw the fom
Before Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877831018518519,637,5294,5354,Trigger (What),Trigger,when cleared for takeoff and aligned with runway centerline
Before Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877831018518519,638,5355,5444,Action (What),Action,turn on allother exterior lights:l and r lng lt l and r wing & runway turnoff hi-int
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,640,82,93,Actor,Actor,the captain
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,641,94,99,Action (Where),Action,calls
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,642,94,151,Action (What),Action,calls for the  before start checklist  at hisdiscretion
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,643,108,132,Action (How),Action,before start checklist
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,644,152,208,Trigger (What),Trigger,following the completion of the flight deckpreparation
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,645,304,327,Action (What),Action,aircraft logcreviewed
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,646,317,318,Actor,Actor,c
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,647,328,359,Action (What),Action,fuel quantityfcreleased with
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,648,342,345,Actor,Actor,fc
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,649,360,363,Actor,Actor,f/o
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,650,364,438,Action (What),Action,states the fuel quantity on board as shown onthe secondary engine display
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,651,407,438,Action (Where),Action,onthe secondary engine display
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,652,446,447,Actor,Actor,c
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,653,456,457,Actor,Actor,f
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,654,475,487,Action (What),Action,check oxygen
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,655,488,510,Trigger (What),Trigger,prior to each takeoff
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,656,511,534,Action (What),Action,state both pres-sures
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,657,539,540,Actor,Actor,c
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,658,551,572,Action (What),Action,verify irs is aligned
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,659,573,596,Trigger (What),Trigger,before moving airplane
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,660,743,745,Actor,Actor,cf
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,661,746,767,Action (What),Action,verify altimeters set
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,662,772,813,Action (What),Action,announce the current altim-eter setting
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,663,772,780,Action (Where),Action,announce
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,664,781,813,Action (How),Action,the current altim-eter setting
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,665,826,827,Actor,Actor,c
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,666,836,876,Action (What),Action,verify displayed alerts are appropriate
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,667,928,929,Actor,Actor,c
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,668,938,959,Action (What),Action,check takeoff warning
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,669,960,982,Trigger (What),Trigger,prior to each takeoff
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,670,989,990,Actor,Actor,c
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,671,999,1010,Action (What),Action,check radar
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,672,1011,1033,Trigger (What),Trigger,prior to each takeoff
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,673,1034,1041,Actor,Actor,the f/o
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,674,1042,1081,Action (What),Action,advises the captain  down to the line
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,675,1042,1049,Action (Where),Action,advises
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,676,1062,1081,Action (How),Action,down to the line
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,677,1121,1124,Actor,Actor,f/o
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,678,1125,1173,Action (What),Action,ensures the following customs forms are onboard
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,679,1174,1212,Trigger (What),Trigger,prior to each international departure:
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,680,1388,1389,Actor,Actor,c
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,681,1393,1443,Action (What),Action,push aux hyd pump 1 switch on the abs panel to on
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,682,1393,1397,Action (How),Action,push
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,683,1398,1436,Action (Where),Action,aux hyd pump 1 switch on the abs panel
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,684,1444,1504,Action (What),Action,observebrake system 2 pressure indicates in the white band
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,685,1519,1520,Actor,Actor,c
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,686,1534,1563,Decide,Decide,if no pushback is to be made
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,687,1564,1596,Action (What),Action,verify the parking brake is set
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,688,1605,1607,Actor,Actor,cf
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,689,1624,1766,Action (What),Action,verify clearview windows are closed  carriage is against forwardbumper  and the window lock latch is down forward and locked in thedetent
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,690,1782,1826,Action (What),Action,verify the door open alert is not displayed
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,691,2145,2156,Action (What),Action,beaconcon
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,692,2152,2153,Actor,Actor,c
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,693,2157,2171,Action (What),Action,ignitionca/b
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,694,2166,2167,Actor,Actor,c
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,695,2581,2582,Actor,Actor,f
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,696,2594,2639,Action (What),Action,push the bleed air 1 2 & 3 switches to off
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,697,2594,2598,Action (How),Action,push
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,698,2599,2631,Action (Where),Action,the bleed air 1 2 & 3 switches
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,699,2640,2641,Actor,Actor,f
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,700,2657,2661,Action (How),Action,push
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,701,2657,2701,Action (What),Action,push the apu air 1-2 and 1-3 isol switches
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,702,2662,2701,Action (Where),Action,the apu air 1-2 and 1-3 isol switches
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,703,2706,2739,Action (What),Action,verify on lights are illuminated
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,704,2740,2741,Actor,Actor,f
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,705,2752,2786,Action (What),Action,push the pack 1 2 and 3 switches
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,706,2752,2756,Action (How),Action,push
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,707,2757,2786,Action (Where),Action,the pack 1 2 and 3 switches
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,708,2791,2872,Action (What),Action,observe thepack flow lights are extinguished and pack offlights are illuminated
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,709,3260,3261,Actor,Actor,f
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,710,3277,3316,Action (What),Action,push the tank 1 2 and 3 pump switches
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,711,3277,3281,Action (How),Action,push
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,712,3282,3316,Action (Where),Action,the tank 1 2 and 3 pump switches
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,713,3321,3384,Action (What),Action,verifythe tank 1 2 and 3 pump off lights are extin-guished
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,714,3385,3386,Actor,Actor,f
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,715,3420,3488,Action (What),Action,verify l and r trans pumps of the upper and loweraux tanks are off
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,716,3427,3479,Action (Where),Action,l and r trans pumps of the upper and loweraux tanks
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,717,3523,3524,Actor,Actor,f
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,718,3556,3594,Action (What),Action,verify tail tank transfer pump is off
Before Start Md-11 Edited,MD-10/MD-11,44722,0.877634259259259,719,3563,3586,Action (Where),Action,tail tank transfer pump
Approach Descent Procedure,Other,44722,0.877469907407407,721,6580,6595,Action (What),Action,pnf atisobtain
Approach Descent Procedure,Other,44722,0.877469907407407,722,6580,6583,Actor,Actor,pnf
Approach Descent Procedure,Other,44722,0.877469907407407,723,6596,6639,Action (Where),Action,pf pnf arrival entriesselect/enter/verify
Approach Descent Procedure,Other,44722,0.877469907407407,724,6596,6599,Actor,Actor,pf
Approach Descent Procedure,Other,44722,0.877469907407407,725,6600,6603,Actor,Actor,pnf
Approach Descent Procedure,Other,44722,0.877469907407407,726,6620,6639,Action (How),Action,select/enter/verify
Approach Descent Procedure,Other,44722,0.877469907407407,727,6640,6688,Action (What),Action,pnf select/complete cdu/fmc arrival information
Approach Descent Procedure,Other,44722,0.877469907407407,728,6640,6643,Actor,Actor,pnf
Approach Descent Procedure,Other,44722,0.877469907407407,729,6644,6659,Action (How),Action,select/complete
Approach Descent Procedure,Other,44722,0.877469907407407,730,6660,6688,Action (Where),Action,cdu/fmc arrival information
Approach Descent Procedure,Other,44722,0.877469907407407,731,6689,6691,Actor,Actor,pf
Approach Descent Procedure,Other,44722,0.877469907407407,732,6689,6714,Action (What),Action,pf verify theinformation
Approach Descent Procedure,Other,44722,0.877469907407407,733,6715,6737,Trigger (What),Trigger,when workload permits
Approach Descent Procedure,Other,44722,0.877469907407407,734,6738,6763,Action (What),Action,pnf dep/arr pagecomplete
Approach Descent Procedure,Other,44722,0.877469907407407,735,6738,6741,Actor,Actor,pnf
Approach Descent Procedure,Other,44722,0.877469907407407,736,6742,6754,Action (Where),Action,dep/arr page
Approach Descent Procedure,Other,44722,0.877469907407407,737,6764,6820,Action (What),Action,line select the destination station at 2r as necessary
Approach Descent Procedure,Other,44722,0.877469907407407,738,6764,6775,Action (How),Action,line select
Approach Descent Procedure,Other,44722,0.877469907407407,739,6780,6799,Action (Where),Action,destination station
Approach Descent Procedure,Other,44722,0.877469907407407,740,6821,6916,Action (What),Action,select theappropriate star fms arrival procedure appr and trans ifapplicable and execute
Approach Descent Procedure,Other,44722,0.877469907407407,741,6844,6849,Action (Where),Action,star
Approach Descent Procedure,Other,44722,0.877469907407407,742,6850,6872,Action (Where),Action,fms arrival procedure
Approach Descent Procedure,Other,44722,0.877469907407407,743,6873,6888,Action (Where),Action,appr and trans
Approach Descent Procedure,Other,44722,0.877469907407407,744,6917,6945,Action (What),Action,pnf legs pagecheck/complete
Approach Descent Procedure,Other,44722,0.877469907407407,745,6917,6920,Actor,Actor,pnf
Approach Descent Procedure,Other,44722,0.877469907407407,746,6921,6930,Action (Where),Action,legs page
Approach Descent Procedure,Other,44722,0.877469907407407,747,6946,7030,Action (What),Action,compare the displayed route with the appropriate clearance and/ornavigation charts
Approach Descent Procedure,Other,44722,0.877469907407407,748,6958,6973,Action (Where),Action,displayed route
Approach Descent Procedure,Other,44722,0.877469907407407,749,7031,7139,Action (What),Action,make any required route modifications includingspeed and altitude constraints to comply with atc clearance
Approach Descent Procedure,Other,44722,0.877469907407407,750,7049,7068,Action (Where),Action,route modifications
Approach Descent Procedure,Other,44722,0.877469907407407,751,7140,7181,Action (What),Action,closeany unwanted route discontinuities
Approach Descent Procedure,Other,44722,0.877469907407407,752,7150,7181,Action (Where),Action,unwanted route discontinuities
Approach Descent Procedure,Other,44722,0.877469907407407,753,7182,7211,Action (What),Action,pnf nav rad pageenter/verify
Approach Descent Procedure,Other,44722,0.877469907407407,754,7182,7185,Actor,Actor,pnf
Approach Descent Procedure,Other,44722,0.877469907407407,755,7186,7198,Action (Where),Action,nav rad page
Approach Descent Procedure,Other,44722,0.877469907407407,756,7212,7237,Decide (What),Decide,for a precision approach
Approach Descent Procedure,Other,44722,0.877469907407407,757,7238,7366,Action (What),Action,verify the ils approach frequency andcourse have been auto-selected and the correct identifiers aredisplayed on the pfd or nd
Approach Descent Procedure,Other,44722,0.877469907407407,758,7356,7366,Action (Where),Action,pfd or nd
Approach Descent Procedure,Other,44722,0.877469907407407,759,7367,7407,Trigger (What),Trigger,if the navaids have not been auto-tuned
Approach Descent Procedure,Other,44722,0.877469907407407,760,7374,7381,Trigger (Where),Trigger,navaids
Approach Descent Procedure,Other,44722,0.877469907407407,761,7408,7429,Action (What),Action,manually insert them
Approach Descent Procedure,Other,44722,0.877469907407407,762,7430,7467,Action (What),Action,vors should be entered by identifier
Approach Descent Procedure,Other,44722,0.877469907407407,763,7430,7434,Action (Where),Action,vors
Approach Descent Procedure,Other,44722,0.877469907407407,764,7468,7501,Action (What),Action,ilss byfrequency/inbound course
Approach Descent Procedure,Other,44722,0.877469907407407,765,7468,7472,Action (Where),Action,ilss
Approach Descent Procedure,Other,44722,0.877469907407407,766,7506,7524,Action (What),Action,ndbs by frequency
Approach Descent Procedure,Other,44722,0.877469907407407,767,7506,7510,Action (Where),Action,ndbs
Approach Descent Procedure,Other,44722,0.877469907407407,768,7525,7555,Action (What),Action,pnf approach ref pagecomplete
Approach Descent Procedure,Other,44722,0.877469907407407,769,7525,7528,Actor,Actor,pnf
Approach Descent Procedure,Other,44722,0.877469907407407,770,7529,7555,Action (Where),Action,approach ref pagecomplete
Approach Descent Procedure,Other,44722,0.877469907407407,771,7678,7708,Decide (What),Decide,if usingflaps 25 for landing
Approach Descent Procedure,Other,44722,0.877469907407407,772,7709,7730,Action (What),Action,enter 25 ref into 4r
Approach Descent Procedure,Other,44722,0.877469907407407,773,7727,7730,Action (Where),Action,4r
Approach Descent Procedure,Other,44722,0.877469907407407,774,7731,7749,Decide (What),Decide,if using flaps 30
Approach Descent Procedure,Other,44722,0.877469907407407,775,7750,7771,Action (What),Action,enter 30ref into 4r
Approach Descent Procedure,Other,44722,0.877469907407407,776,7750,7755,Action (How),Action,enter
Approach Descent Procedure,Other,44722,0.877469907407407,777,7768,7771,Action (Where),Action,4r
Approach Descent Procedure,Other,44722,0.877469907407407,778,7874,7919,Decide (What),Decide,if the airplane weightchanges substantially
Approach Descent Procedure,Other,44722,0.877469907407407,779,7920,7961,Action (What),Action,update the ref by re-entering it into 4r
Approach Descent Procedure,Other,44722,0.877469907407407,780,7958,7961,Action (Where),Action,4r
Approach Descent Procedure,Other,44722,0.877469907407407,781,7962,8005,Action (What),Action,c f/o approach/landing briefingaccomplish
Approach Descent Procedure,Other,44722,0.877469907407407,782,7962,7964,Actor,Actor,c
Approach Descent Procedure,Other,44722,0.877469907407407,783,7965,7968,Actor,Actor,f/o
Approach Descent Procedure,Other,44722,0.877469907407407,784,8006,8065,Trigger (What),Trigger,after receiving the current atis or at an appropriate time
Approach Descent Procedure,Other,44722,0.877469907407407,785,8026,8038,Trigger (How),Trigger,current atis
Approach Descent Procedure,Other,44722,0.877469907407407,786,8066,8077,Actor,Actor,the captain
Approach Descent Procedure,Other,44722,0.877469907407407,787,8066,8120,Action (What),Action,the captainensures the appropriate items are briefed
Approach Descent Procedure,Other,44722,0.877469907407407,788,8090,8107,Action (Where),Action,appropriate items
Approach Descent Procedure,Other,44722,0.877469907407407,789,8130,8158,Action (What),Action,pf pnf dh/mdacheck and set
Approach Descent Procedure,Other,44722,0.877469907407407,790,8130,8133,Actor,Actor,pf
Approach Descent Procedure,Other,44722,0.877469907407407,791,8134,8137,Actor,Actor,pnf
Approach Descent Procedure,Other,44722,0.877469907407407,792,8138,8144,Action (Where),Action,dh/mda
Approach Descent Procedure,Other,44722,0.877469907407407,793,8159,8185,Action (What),Action,set the approach minimums
Approach Descent Procedure,Other,44722,0.877469907407407,794,8186,8249,Action (What),Action,use the radio mins selector to set thecat iii ah or cat ii dh
Approach Descent Procedure,Other,44722,0.877469907407407,795,8194,8213,Action (Where),Action,radio mins selector
Approach Descent Procedure,Other,44722,0.877469907407407,796,8250,8271,Decide (What),Decide,for other approaches
Approach Descent Procedure,Other,44722,0.877469907407407,797,8250,8271,Trigger (What),Trigger,for other approaches
Approach Descent Procedure,Other,44722,0.877469907407407,798,8272,8320,Action (What),Action,use the baro minsselector to set the dh or mda
Approach Descent Procedure,Other,44722,0.877469907407407,799,8272,8298,Action (How),Action,use the baro minsselector
Approach Descent Procedure,Other,44722,0.877469907407407,800,8403,8427,Action (What),Action,c seat belts selectoron
Approach Descent Procedure,Other,44722,0.877469907407407,801,8403,8404,Actor,Actor,c
Approach Descent Procedure,Other,44722,0.877469907407407,802,8405,8424,Action (Where),Action,seat belts selector
Approach Descent Procedure,Other,44722,0.877469907407407,803,8428,8452,Action (What),Action,pnf canc/rcl switchpush
Approach Descent Procedure,Other,44722,0.877469907407407,804,8428,8431,Actor,Actor,pnf
Approach Descent Procedure,Other,44722,0.877469907407407,805,8432,8447,Action (Where),Action,canc/rcl switch
Approach Descent Procedure,Other,44722,0.877469907407407,806,8448,8452,Action (How),Action,push
Approach Descent Procedure,Other,44722,0.877469907407407,807,8453,8515,Action (What),Action,observe any previously canceled caution and advisory messages
Approach Descent Procedure,Other,44722,0.877469907407407,808,8465,8492,Action (Where),Action,previously canceled caution
Approach Descent Procedure,Other,44722,0.877469907407407,809,8497,8515,Action (Where),Action,advisory messages
Approach Descent Procedure,Other,44722,0.877469907407407,810,8516,8548,Action (What),Action,c autobrake selectoras required
Approach Descent Procedure,Other,44722,0.877469907407407,811,8516,8517,Actor,Actor,c
Approach Descent Procedure,Other,44722,0.877469907407407,812,8518,8536,Action (Where),Action,autobrake selector
Approach Descent Procedure,Other,44722,0.877469907407407,813,9543,9564,Action (What),Action,do not use autobrakes
Approach Descent Procedure,Other,44722,0.877469907407407,814,9565,9638,Trigger (What),Trigger,if any of the following eicascaution or advisory messages are displayed:
Approach Descent Procedure,Other,44722,0.877469907407407,815,9589,9602,Trigger (How),Trigger,eicascaution
Approach Descent Procedure,Other,44722,0.877469907407407,816,9606,9623,Trigger (How),Trigger,advisory messages
Approach Descent Procedure,Other,44722,0.877469907407407,817,9687,9756,Action (What),Action,pnf approach descentchecklistcomplete down totransition level line
Approach Descent Procedure,Other,44722,0.877469907407407,818,9687,9690,Actor,Actor,pnf
Approach Descent Procedure,Other,44722,0.877469907407407,819,9691,9717,Action (Where),Action,approach descentchecklist
Approach Descent Procedure,Other,44722,0.877469907407407,820,9757,9767,Trigger (What),Trigger,at fl 180:
Approach Descent Procedure,Other,44722,0.877469907407407,821,9760,9767,Trigger (How),Trigger,fl 180:
Approach Descent Procedure,Other,44722,0.877469907407407,822,9768,9787,Action (What),Action,c landing lightson
Approach Descent Procedure,Other,44722,0.877469907407407,823,9768,9769,Actor,Actor,c
Approach Descent Procedure,Other,44722,0.877469907407407,824,9770,9784,Action (Where),Action,landing lights
Approach Descent Procedure,Other,44722,0.877469907407407,825,9790,9813,Action (What),Action,c runway turnoff lights
Approach Descent Procedure,Other,44722,0.877469907407407,826,9790,9791,Actor,Actor,c
Approach Descent Procedure,Other,44722,0.877469907407407,827,9792,9813,Action (Where),Action,runway turnoff lights
Approach Descent Procedure,Other,44722,0.877469907407407,828,9817,9820,Actor,Actor,f/o
Approach Descent Procedure,Other,44722,0.877469907407407,829,9817,9832,Action (What),Action,f/o wing lights
Approach Descent Procedure,Other,44722,0.877469907407407,830,9821,9832,Action (Where),Action,wing lights
Approach Descent Procedure,Other,44722,0.877469907407407,831,9918,9963,Trigger (What),Trigger,when descending through the transition level
Approach Descent Procedure,Other,44722,0.877469907407407,832,9946,9963,Trigger (How),Trigger,transition level
Approach Descent Procedure,Other,44722,0.877469907407407,833,9968,10033,Trigger (What),Trigger,after receivingcurrent enroute or destination altimeter setting:
Approach Descent Procedure,Other,44722,0.877469907407407,834,9984,10033,Trigger (How),Trigger,current enroute or destination altimeter setting:
Approach Descent Procedure,Other,44722,0.877469907407407,835,10034,10072,Action (What),Action,c f/o altimetersset and announce qnh
Approach Descent Procedure,Other,44722,0.877469907407407,836,10034,10036,Actor,Actor,c
Approach Descent Procedure,Other,44722,0.877469907407407,837,10037,10040,Actor,Actor,f/o
Approach Descent Procedure,Other,44722,0.877469907407407,838,10073,10099,Action (What),Action,crosscheck all altimeters
Approach Descent Procedure,Other,44722,0.877469907407407,839,10088,10099,Action (Where),Action,altimeters
Approach Descent Procedure,Other,44722,0.877469907407407,840,10234,10273,Action (What),Action,pnf approach descent checklistcomplete
Approach Descent Procedure,Other,44722,0.877469907407407,841,10234,10237,Actor,Actor,pnf
Approach Descent Procedure,Other,44722,0.877469907407407,842,10238,10264,Action (Where),Action,approach descent checklist
Approach Descent Procedure,Other,44722,0.877469907407407,843,10274,10300,Action (What),Action,read this checklist aloud
Approach Descent Procedure,Other,44722,0.877469907407407,844,10274,10278,Action (Where),Action,read
Approach Descent Procedure,Other,44722,0.877469907407407,845,10294,10300,Action (How),Action,aloud
Approach Descent Procedure,Other,44722,0.877469907407407,846,10363,10393,Action (What),Action,announce  checklist complete
Approach Descent Procedure,Other,44722,0.877469907407407,847,10363,10371,Action (Where),Action,announce
Approach Descent Procedure,Other,44722,0.877469907407407,848,10372,10393,Action (How),Action,checklist complete
Approach Descent Procedure,Other,44722,0.877469907407407,849,10394,10427,Action (What),Action,pnf cabin notificationaccomplish
Approach Descent Procedure,Other,44722,0.877469907407407,850,10394,10397,Actor,Actor,pnf
Approach Descent Procedure,Other,44722,0.877469907407407,851,10398,10416,Action (Where),Action,cabin notification
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,853,97,99,Actor,Actor,pf
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,854,100,151,Action (What),Action,calls for  slats retract after takeoff checklist
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,855,100,105,Action (Where),Action,calls
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,856,110,151,Action (How),Action,slats retract after takeoff checklist
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,857,156,159,Actor,Actor,pnf
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,858,160,216,Action (What),Action,accomplishes the flow items andcompletes the checklist
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,859,217,241,Action (What),Action,gearpnfup & lights out
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,860,217,221,Action (Where),Action,gear
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,861,222,225,Actor,Actor,pnf
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,862,242,274,Action (What),Action,flaps & slatspnfup & retracted
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,863,242,255,Action (Where),Action,flaps & slats
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,864,256,259,Actor,Actor,pnf
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,865,275,296,Action (What),Action,spoilerspnfdisarmed
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,866,275,283,Action (Where),Action,spoilers
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,867,284,287,Actor,Actor,pnf
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,868,297,330,Action (What),Action,auto brakespnfoff/not installed
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,869,297,308,Action (Where),Action,auto brakes
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,870,309,312,Actor,Actor,pnf
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,871,331,355,Action (What),Action,flap t o  selpnf 15°/0°
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,872,331,335,Action (Where),Action,flap
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,873,345,348,Actor,Actor,pnf
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,874,362,398,Action (What),Action,rotate the flap t/o selector to 15°
After Takeoff Md-11 Edited,MD-10/MD-11,44722,0.877246527777778,875,362,368,Action (How),Action,rotate
